feature_id,location_id,date,dengue_lag_1,dengue_lag_2,dengue_lag_4,dengue_rolling_4,malaria_lag_1,malaria_lag_4,rainfall_1,rainfall_2,rainfall_4,rainfall_8,temperature_1,temperature_2,temperature_4,rainfall_anomaly,temperature_anomaly,outbreak_target,population,urban_density,sanitation_index,municipality,state_name
180,148,2025-07-01,,,,480,398,420,252.04165396341463,296.0766768292683,,,25.136270306859217,25.66114620938629,,0.0,0.0,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
181,148,2025-08-01,,,,598,480,322,142.83382240853658,252.04165396341463,,,25.08916967509026,25.136270306859217,,0.0,0.0,1,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
182,148,2025-09-01,,,,519,598,580,148.14576981707316,142.83382240853658,,,25.87738605595672,25.08916967509026,,0.0,0.0,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
183,148,2025-10-01,,,,555,519,398,115.07322789634146,148.14576981707316,,,26.962956904332145,25.87738605595672,,0.0,0.0,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
184,148,2025-11-01,,,,402,555,480,132.60215320121952,115.07322789634146,,,26.724153880866425,26.962956904332145,,0.0,0.0,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
185,148,2025-12-01,,,,393,402,598,189.98555640243902,132.60215320121952,,,26.503965478339353,26.724153880866425,,-2.6931783536585385,-0.4202814756317821,0,90374,8.042580286374065,0.4087082641771073,Barcelos,Amazonas
186,150,2025-04-01,,,,16,11,3,299.7561732700893,449.53243582589283,,,25.341089876033095,24.916147985537236,,0.0,0.0,0,60668,1.7270419155397159,0.42083776575729814,Benjamin Constant,Amazonas
187,150,2025-05-01,,,,25,16,28,333.12203543526783,299.7561732700893,,,25.54918646694216,25.341089876033095,,0.0,0.0,0,60668,1.7270419155397159,0.42083776575729814,Benjamin Constant,Amazonas
188,150,2025-06-01,,,,18,25,21,218.19974190848214,333.12203543526783,,,25.25983341942151,25.54918646694216,,0.0,0.0,0,60668,1.7270419155397159,0.42083776575729814,Benjamin Constant,Amazonas
189,150,2025-07-01,,,,29,18,11,91.68155343191964,218.19974190848214,,,24.9412319214876,25.25983341942151,,0.0,0.0,1,60668,1.7270419155397159,0.42083776575729814,Benjamin Constant,Amazonas
